post_title,post_url,author_name,author_url,response_count,response_latest_time
地铁六号线物资学院路站。主卧阳台三家何住包物业供暖。民水民电楼下小吃街商场交通方便。,https://www.douban.com/group/topic/261374327/,。。。。,https://www.douban.com/people/239521465/,0,2022-03-02 20:46:00
东坝3居室转租其中1个次卧怎么租都可以拎包入住包水电气 wifi 首城东郡家园,https://www.douban.com/group/topic/261373873/,古岛酱,https://www.douban.com/people/188585978/,0,2022-03-02 20:41:00
转租一间卧室2300/月,https://www.douban.com/group/topic/261373790/,💕,https://www.douban.com/people/206090896/,0,2022-03-02 20:41:00
14号线来广营附近善各庄出租,https://www.douban.com/group/topic/261373734/,王兰,https://www.douban.com/people/222946966/,0,2022-03-02 20:40:00
十号线劲松地铁站附近房东直租,https://www.douban.com/group/topic/261373555/,🍒 萌汉药🍒,https://www.douban.com/people/203648137/,2,2022-03-02 20:38:00
个人出租北京师范大学东门附近两居室,https://www.douban.com/group/topic/261373248/,一切随缘,https://www.douban.com/people/162121046/,0,2022-03-02 20:36:00
4号线，西红门，精装主卧带阳台2000，大次卧1800，房东直签，无中介费服务费，随时看房,https://www.douban.com/group/topic/261373113/,豆友243635616,https://www.douban.com/people/243635616/,0,2022-03-02 20:34:00
六号线草房，北京像素，南向开间,https://www.douban.com/group/topic/261373078/,诺克萨斯之手,https://www.douban.com/people/204625921/,0,2022-03-02 20:34:00
房东直租  南向大主卧带阳台   |  学院南路  西直门  北邮南门  |   无中介费 无网费  价格优惠,https://www.douban.com/group/topic/261373035/,Miss yiwa,https://www.douban.com/people/136830755/,0,2022-03-02 20:33:00
出租！！五道口六道口地铁站附近大学周边精装好房！！整租分租都可以！！,https://www.douban.com/group/topic/261372665/,一只猫的生活,https://www.douban.com/people/253911184/,0,2022-03-02 20:30:00
10号线十里河地铁附近精装大主卧带阳台出租,https://www.douban.com/group/topic/261372535/,故里,https://www.douban.com/people/234449012/,0,2022-03-02 20:28:00
8号线，回龙观东大街，天鑫家园，两居室，次卧，找室友,https://www.douban.com/group/topic/261372435/,urnotmine,https://www.douban.com/people/103706197/,2,2022-03-02 20:27:00
通州土桥站公交直达两室一厅转租,https://www.douban.com/group/topic/261371641/,靴靴老师,https://www.douban.com/people/183013619/,0,2022-03-02 20:19:00
【转租】西北旺地铁-永靓家园-三室一厅朝南主卧-近西北旺地铁站，科技园/软件园-2900元 （可议价）-男女不限,https://www.douban.com/group/topic/261371631/,chq,https://www.douban.com/people/206034540/,0,2022-03-02 20:19:00
亚运村 个人找女生合租 两室一厅一厨一卫,https://www.douban.com/group/topic/261371386/,Sandy,https://www.douban.com/people/120621024/,0,2022-03-02 20:16:00
出租广渠金茂府南向一居带衣帽间,https://www.douban.com/group/topic/261371170/,࿐ཉི༗࿆徐征༗࿆ཉི࿐,https://www.douban.com/people/244788524/,0,2022-03-02 20:14:00
地铁10号线潘家园 小区环境好有电梯美景东方 大主卧阳台28平！ 采光好 临近地铁,https://www.douban.com/group/topic/261371147/,👧,https://www.douban.com/people/185042728/,0,2022-03-02 20:14:00
房东直租| 南北通透次卧2500，距6号线十里堡地铁口仅5分钟，无中介费,https://www.douban.com/group/topic/261370998/,水玛瑙,https://www.douban.com/people/204571426/,0,2022-03-02 20:12:00
8号线永泰庄附近求租两居室,https://www.douban.com/group/topic/261370986/,第四维,https://www.douban.com/people/187534562/,4,2022-03-02 20:12:00
西三旗安宁佳园大开间,https://www.douban.com/group/topic/261370899/,鹿港,https://www.douban.com/people/223183282/,0,2022-03-02 20:11:00
三元桥亮马桥霞光里35号院次卧3000，原来自如的房子，电子锁，紧邻佳程广场，天元港，现代大厦，国航大厦，京信大厦,https://www.douban.com/group/topic/261370793/,朝阳霞光里次卧,https://www.douban.com/people/242287954/,0,2022-03-02 20:10:00
霍营地铁站 龙跃苑三区,https://www.douban.com/group/topic/261369974/,小飞,https://www.douban.com/people/207129626/,0,2022-03-02 20:02:00
来广营望京三元桥酒仙桥地铁十五号线康营家园新出精装单间  可月付  无押金  无杂费 随时看房 拎包入住,https://www.douban.com/group/topic/261369649/,慧慧,https://www.douban.com/people/222721883/,0,2022-03-02 19:58:00
【挂人】小心骗子垃圾人,https://www.douban.com/group/topic/261369354/,fan,https://www.douban.com/people/fan0304/,2,2022-03-02 19:54:00
紧邻地铁2 号 8 号线 鼓楼站周围 两居室出租！南北通透！采光非常棒！胡同里的房子，紧邻后海，南锣鼓巷,https://www.douban.com/group/topic/261369251/,AYT,https://www.douban.com/people/228075692/,2,2022-03-02 19:53:00
CBD双井国贸找女室友，同屋不同床，可租1-12个月,https://www.douban.com/group/topic/261369013/,Whisper,https://www.douban.com/people/166706999/,0,2022-03-02 19:49:00
地铁六号线！物质学院路！新建村三号院！主卧三家合租！包物业！包取暖！五分钟到地铁口,https://www.douban.com/group/topic/261368352/,爱你😘汐汐宝贝,https://www.douban.com/people/239191552/,0,2022-03-02 19:41:00
无中介费，一号线，八角地铁口1300元厨卫齐全,https://www.douban.com/group/topic/261368027/,难得一见,https://www.douban.com/people/250053823/,0,2022-03-02 19:37:00
团结湖三里屯附近大主卧带阳台转租,https://www.douban.com/group/topic/261367904/,咖喱辣椒,https://www.douban.com/people/254037545/,0,2022-03-02 19:36:00
知春路-双榆树东里 房东直租2800 三月中下旬可租,https://www.douban.com/group/topic/261367570/,清凉油,https://www.douban.com/people/209680303/,0,2022-03-02 19:32:00
九号线丰台七里庄东大街十号线丰台泥洼附近前泥洼三区次卧转租,https://www.douban.com/group/topic/261367217/,安年,https://www.douban.com/people/168906478/,0,2022-03-02 19:28:00
阎村东地铁站   公寓首租,https://www.douban.com/group/topic/261367063/,豆友LSHU6aGjT8,https://www.douban.com/people/246272338/,0,2022-03-02 19:25:00
直租6号线草房地铁站。无中介费畅心园小区精装朝南主卧。2000,https://www.douban.com/group/topic/261366899/,豆友220314678,https://www.douban.com/people/220314678/,0,2022-03-02 19:23:00
直达双井国贸10号线大红门精装大3居 距离地铁近  家电齐全 性价比超高 无中介费 无服务费,https://www.douban.com/group/topic/261366131/,小🐠,https://www.douban.com/people/238796592/,1,2022-03-02 19:12:00
求租一室一厅3500以内,https://www.douban.com/group/topic/261366023/,豆友nVebEgIIWg,https://www.douban.com/people/250261600/,2,2022-03-02 19:11:00
1号线大望路SOHO现代城主卧独卫出租,https://www.douban.com/group/topic/261365956/,可乐大咸咸咸咸,https://www.douban.com/people/252131842/,0,2022-03-02 19:10:00
梨园地铁口，豪装三居两卫，可月付,https://www.douban.com/group/topic/261365914/,智小智,https://www.douban.com/people/235444914/,0,2022-03-02 19:10:00
昌平回龙观附近带阳台大卧室转租,https://www.douban.com/group/topic/261365778/,五星红旗迎风飘,https://www.douban.com/people/247257026/,7,2022-03-02 19:08:00
2198四惠东通惠家园超大主卧,https://www.douban.com/group/topic/261365689/,张煊,https://www.douban.com/people/250646414/,0,2022-03-02 19:06:00
6号线  黄渠地铁站泰福苑精装一居随时看房,https://www.douban.com/group/topic/261365609/,小豆角,https://www.douban.com/people/251343920/,0,2022-03-02 19:05:00
大望路SOHO现代城落地窗主卧出租,https://www.douban.com/group/topic/261365313/,豆友Kw2Q-cNJTs,https://www.douban.com/people/251745918/,0,2022-03-02 19:01:00
5号线天通苑 立水桥 北苑路北海量房源出租 无中介费无服务费 需要滴滴，非诚勿扰 13522655763微,https://www.douban.com/group/topic/261365266/,豆豆痘痘,https://www.douban.com/people/254198481/,0,2022-03-02 19:00:00
清河安宁里次卧出租,https://www.douban.com/group/topic/261364992/,初见,https://www.douban.com/people/169125298/,0,2022-03-02 18:56:00
求租整租一居室,https://www.douban.com/group/topic/261364818/,JoKKKKKKKE,https://www.douban.com/people/LoveZY_/,3,2022-03-02 18:54:00
天通苑次卧，不是房东不要钱,https://www.douban.com/group/topic/261364467/,知足常乐,https://www.douban.com/people/208128056/,0,2022-03-02 18:49:00
转租枣营北里独立标准1居室（2022年8月～2023年2月）非中介，个人转租，可提供合同，5300,https://www.douban.com/group/topic/261364459/,invisible,https://www.douban.com/people/216766159/,1,2022-03-02 18:49:00
和平里 电梯房 精装修二室一厅 砖角楼南里临近地铁 看房方便 业主直租,https://www.douban.com/group/topic/261364440/,再吃一口,https://www.douban.com/people/242666477/,0,2022-03-02 18:48:00
4号线高米店南，首邑溪谷朝南主卧带阳台，石油学院，东方时尚驾校附近，天健广场附近，包物业取暖，有电梯，坐地铁直达中关村西直门，西单西四,https://www.douban.com/group/topic/261364208/,勇往直前,https://www.douban.com/people/237388463/,0,2022-03-02 18:45:00
转租｜六号线十里堡,https://www.douban.com/group/topic/261364093/,友善青年,https://www.douban.com/people/216849824/,0,2022-03-02 18:44:00
团结湖朝阳公园西里小区，正规两居可分租可整租，主卧阳台4000，主卧3800，无中介费服务费,https://www.douban.com/group/topic/261363899/,南方小伙yyds,https://www.douban.com/people/229020376/,2,2022-03-02 18:41:00
转租/近安华桥，北土城，安贞门地铁站，次卧转租，仅限男生,https://www.douban.com/group/topic/261363705/,cherish~,https://www.douban.com/people/168143843/,0,2022-03-02 18:38:00
南邵路劲世界城合租,https://www.douban.com/group/topic/261363630/,Deadpool,https://www.douban.com/people/154775559/,0,2022-03-02 18:37:00
清河地铁旁边 当代城市家园 主卧独卫 主卧 次卧 租期灵活 步行小米 金山软件园 快手 上地 硅谷亮城 五彩城 直达中关村 五道口,https://www.douban.com/group/topic/261363272/,一只可爱,https://www.douban.com/people/248852965/,0,2022-03-02 18:32:00
［招租，限女生一人］地铁9号六里桥东站，西三环,https://www.douban.com/group/topic/261363148/,缤纷兔,https://www.douban.com/people/221121619/,0,2022-03-02 18:30:00
纯个人转租，真实！！！,https://www.douban.com/group/topic/261362891/,DombBcheerfulGL,https://www.douban.com/people/206748289/,0,2022-03-02 18:26:00
个人房源没有中介费1600元,https://www.douban.com/group/topic/261362842/,豆友183749516,https://www.douban.com/people/183749516/,3,2022-03-02 18:25:00
三元桥 西坝河东里主卧室 次卧室2400元 十号线地铁站 精装修 邻包入住,https://www.douban.com/group/topic/261362672/,豆友236239352,https://www.douban.com/people/236239352/,4,2022-03-02 18:23:00
双榆树北里 中卧室出租 随时入住,https://www.douban.com/group/topic/261362244/,天意,https://www.douban.com/people/203994382/,0,2022-03-02 18:17:00
求租一居室,https://www.douban.com/group/topic/261362135/,咦？,https://www.douban.com/people/154906149/,2,2022-03-02 18:15:00
个人转租｜无中介费，正规次卧，6号线常营、八通线管庄,https://www.douban.com/group/topic/261362030/,FuZhen在进化,https://www.douban.com/people/fuzhendouban/,2,2022-03-02 18:13:00
百子湾找姐妹合租,https://www.douban.com/group/topic/261362029/,好奇,https://www.douban.com/people/202226505/,0,2022-03-02 18:13:00
