,response_latest_time,post_title,post_url,author_name,author_url,response_count,possible_price,addr_coords,addr_name,transit_minutes
376,2022-03-05 08:42:00,芍药居地铁站边上的独门独户小开间出租,https://www.douban.com/group/topic/261572067/,家,https://www.douban.com/people/247857887/,7,,"116.437144,39.977024",北京市朝阳区太阳宫乡北土城东路中海油大厦,14.0
605,2022-03-09 11:08:00,出租两居室次卧。太阳宫光熙门西坝河三元桥附近,https://www.douban.com/group/topic/261890476/,嘻哈,https://www.douban.com/people/244747098/,5,,"116.447714,39.971234",北京市朝阳区太阳宫乡冠城大厦,15.0
280,2022-03-09 16:33:00,独立阳台大主卧出租，仅限情侣或男生。太阳宫三元桥西坝河附近3000+,https://www.douban.com/group/topic/261914521/,@ajms,https://www.douban.com/people/166782522/,11,3000.0,"116.447714,39.971234",北京市朝阳区太阳宫乡冠城大厦,15.0
807,2022-03-09 02:06:00,北土城惠新西街南口芍药居合租限女,https://www.douban.com/group/topic/261877169/,太阳宫合租,https://www.douban.com/people/kayla0722/,5,,"116.417746,39.977356",北京市朝阳区小关街道惠新西街交通运输部科学研究院(北土城东路),18.0
635,2022-03-09 10:45:00,朝阳区农展南里合租3000,https://www.douban.com/group/topic/261888599/,油车公交,https://www.douban.com/people/185201484/,0,3000.0,"116.465454,39.935748",北京市朝阳区麦子店街道农展南里社区,21.0
350,2022-03-06 17:47:00,亮马桥三元桥新源里东小区次卧转租,https://www.douban.com/group/topic/261685913/,Milkdooooo,https://www.douban.com/people/133296837/,3,,"116.459945,39.957967",北京市朝阳区麦子店街道远洋新干线,21.0
976,2022-03-08 21:10:00,个人转租亮马桥新源里东小区次卧,https://www.douban.com/group/topic/261858445/,Milkdooooo,https://www.douban.com/people/133296837/,0,,"116.459702,39.953557",北京市朝阳区左家庄街道中国旅贸大厦(东三环北路辅路),21.0
812,2022-03-09 01:09:00,寻一女生室友合租两居室，一人一间，亮马桥，三元桥，太阳宫，芍药居，安贞附近,https://www.douban.com/group/topic/261875868/,GraceLau,https://www.douban.com/people/191181613/,9,,"116.459945,39.957967",北京市朝阳区麦子店街道远洋新干线,21.0
809,2022-03-09 01:33:00,临近国贸 乐城旁边7/10号线双井地铁站 乐城旁边 三家合租南向精装主卧 带大阳台 可以月付 无中介费 个人直租,https://www.douban.com/group/topic/261876523/,北京租房小李,https://www.douban.com/people/254031984/,2,,"116.461834,39.893512",北京市朝阳区双井街道广渠路乐成中心SPACE3,22.0
459,2022-03-09 13:29:00,临近地铁5号线🦖，惠新西街北口💫正规阳台间🐉步行地铁口5分钟🛩超近出小区有物美超市，早餐店和午餐点，看房咨询微信：18518112161,https://www.douban.com/group/topic/261900922/,豆友250400519,https://www.douban.com/people/250400519/,2,,"116.417839,39.987066",北京市朝阳区小关街道惠新北里社区(惠新西街)千鹤家园,22.0
830,2022-03-09 00:05:00,10号线双井地铁站两居室可整租可分租精装修拎包入住,https://www.douban.com/group/topic/261872540/,小超超,https://www.douban.com/people/254359920/,2,,"116.461834,39.893512",北京市朝阳区双井街道广渠路乐成中心SPACE3,22.0
287,2022-03-09 16:30:00,6号线物资学院地铁站新建村高层主卧飘窗精装修包物业取暖随时入住民水民电,https://www.douban.com/group/topic/261914285/,石先生,https://www.douban.com/people/250718709/,0,,"116.478430,39.922815",北京市朝阳区六里屯街道朝阳北路北京华德眼科医院,22.0
801,2022-03-09 04:28:00,六号线物资学院地铁站旁边，三家朝南主卧带阳台，没有中介费服务费，包物业取暖，民水民电，离地铁走路五分钟，繁华地段,https://www.douban.com/group/topic/261878239/,张先生,https://www.douban.com/people/253765335/,0,,"116.478430,39.922815",北京市朝阳区六里屯街道朝阳北路北京华德眼科医院,22.0
843,2022-03-08 23:46:00,13号线龙泽站 主卧独卫3700  独卫阳台4100 全女生次卧2400 南向次卧2400电梯落地窗 13261680701,https://www.douban.com/group/topic/261871033/,墩子,https://www.douban.com/people/234066620/,0,3150.0,"116.394593,39.976690",北京市朝阳区亚运村街道北土城东路元大都城垣遗址公园,22.0
23,2022-03-09 21:39:00,6号线物资学院地铁站，物资学院3号院小区整租两居室出租，下楼就是地铁站,https://www.douban.com/group/topic/261937255/,要喝就喝娃哈哈,https://www.douban.com/people/253827579/,1,,"116.478430,39.922815",北京市朝阳区六里屯街道朝阳北路北京华德眼科医院,22.0
601,2022-03-09 11:10:00,6号线物资学院地铁站 主卧阳台独卫,https://www.douban.com/group/topic/261890727/,缺氧,https://www.douban.com/people/250615999/,0,,"116.478430,39.922815",北京市朝阳区六里屯街道朝阳北路北京华德眼科医院,22.0
241,2022-03-09 17:16:00,【地理位置】房东直租_5号线惠新西街南口 5/10号线_惠新西街33号院_朝南主卧_  步行地铁5分钟,https://www.douban.com/group/topic/261917533/,👑赵诚💸,https://www.douban.com/people/217018966/,2,,"116.416601,39.979153",北京市朝阳区小关街道惠新西街33号院,23.0
