,response_latest_time,post_title,post_url,author_name,author_url,response_count,possible_price,addr_coords,addr_name,transit_minutes
275,2022-03-06 15:52:00,17平大主卧，十号线亮马桥地铁站附近，亮马河大使馆区内，3900长租,https://www.douban.com/group/topic/261678177/,路从白Pray,https://www.douban.com/people/160972072/,5,3900.0,"116.461794,39.949415",北京市朝阳区麦子店街道亮马桥(地铁站)燕莎友谊商城,9.0
34,2022-03-09 19:02:00,太阳宫半岛国际公寓两居室主卧出租,https://www.douban.com/group/topic/261924941/,swallow,https://www.douban.com/people/91803071/,0,,"116.450758,39.971128",北京市朝阳区太阳宫乡瑞思学科英语半岛国际公寓,17.0
774,2022-03-07 17:38:00,呼家楼地铁5分钟，次卧出租,https://www.douban.com/group/topic/261766253/,令狐冲,https://www.douban.com/people/172694615/,9,,"116.460868,39.920893",北京市朝阳区呼家楼街道途西教育北京瑰丽酒店,19.0
312,2022-03-08 23:48:00,13号线龙泽站 主卧独卫3700  独卫阳台4100 全女生次卧2400 南向次卧2400电梯落地窗 13261680701,https://www.douban.com/group/topic/261871223/,墩子,https://www.douban.com/people/234066620/,0,3700.0,"116.394593,39.976690",北京市朝阳区亚运村街道北土城东路元大都城垣遗址公园,22.0
539,2022-03-08 12:55:00,国贸金台夕照双地铁走路10分钟，中国尊楼下主卧独卫出租。,https://www.douban.com/group/topic/261823402/,豆友220953966,https://www.douban.com/people/220953966/,0,,"116.459796,39.915448",北京市朝阳区呼家楼街道金台夕照北京财富中心,22.0
96,2022-03-09 15:17:00,6号线物资学院地铁站，精装2居。复式带阁楼，可当小3居，4800，随时看房入住。,https://www.douban.com/group/topic/261909000/,2774936273,https://www.douban.com/people/239640620/,1,4800.0,"116.478430,39.922815",北京市朝阳区六里屯街道朝阳北路北京华德眼科医院,22.0
54,2022-03-09 17:17:00,【地理位置】房东直租_5号线惠新西街南口 5/10号线_惠新西街33号院_朝南主卧_  步行地铁5分钟,https://www.douban.com/group/topic/261917631/,👑赵诚💸,https://www.douban.com/people/217018966/,0,,"116.416601,39.979153",北京市朝阳区小关街道惠新西街33号院,23.0
762,2022-03-07 18:13:00,13号光熙门地铁站旁两室一厅，步行5分钟到大众和字节跳动，三环边河景房,https://www.douban.com/group/topic/261768645/,LudaC,https://www.douban.com/people/IenacaI/,1,,"116.431290,39.969536",北京市朝阳区和平街街道北三环东路,24.0
369,2022-03-08 21:20:00,低价转租三元桥附近大主卧,https://www.douban.com/group/topic/261859237/,Kobe👊🏽,https://www.douban.com/people/223030704/,2,,"116.437717,39.966282",北京市朝阳区香河园街道西坝河西里社区,24.0
992,2022-03-07 08:35:00,东直门、三里屯、柳芳、左家庄次卧房东直租,https://www.douban.com/group/topic/261727811/,豆友1Ct96mkOn8,https://www.douban.com/people/249422506/,4,,"116.443906,39.957508",北京市朝阳区左家庄街道左北里社区科普服务站瑞福苑,24.0
