post_title,post_url,author_name,author_url,response_count,response_latest_time
地铁五号线 北苑 北苑路北 立水桥附近租房的看！！无任何中介服务费！,https://www.douban.com/group/topic/261353326/,铁锤,https://www.douban.com/people/246298553/,0,2022-03-02 16:15:00
1号线 电梯房 果园地铁 新出好房 南向主卧阳台 1800/月，,https://www.douban.com/group/topic/261353323/,豆友7621953429,https://www.douban.com/people/250217609/,0,2022-03-02 16:15:00
成寿寺地铁10号线，方庄南路18号院，朝南主卧阳台，干净，采光好，随时看房，拎包入住,https://www.douban.com/group/topic/261353299/,浩达行·木子·李,https://www.douban.com/people/237789402/,0,2022-03-02 16:15:00
～,https://www.douban.com/group/topic/261353296/,北京5号线,https://www.douban.com/people/250033207/,0,2022-03-02 16:15:00
6号线，褡裢坡站，美然动力，主卧独卫3600,https://www.douban.com/group/topic/261353252/,六号线租房,https://www.douban.com/people/253840625/,0,2022-03-02 16:14:00
已婚90后小夫妻需要租房！诚求推荐🙏,https://www.douban.com/group/topic/261353200/,小爽,https://www.douban.com/people/254066158/,0,2022-03-02 16:14:00
4号线马家堡地铁50米，大商场旁600米，南三环边，42平米一室一厅转租5个月，4800元/月，微信：ministar_0322（备注豆瓣）,https://www.douban.com/group/topic/261353088/,Trailblazer,https://www.douban.com/people/192739360/,0,2022-03-02 16:12:00
临近地铁5号线🦖，惠新西街北口💫正规阳台间🐉步行地铁口5分钟🛩超近出小区有物美超市，早餐店和午餐点，看房咨询微信：18518112161,https://www.douban.com/group/topic/261353063/,小屁孩，写日记,https://www.douban.com/people/250400675/,0,2022-03-02 16:12:00
求租沙河地铁站一居室或主卧带独卫,https://www.douban.com/group/topic/261353055/,茫茫依依,https://www.douban.com/people/200278466/,0,2022-03-02 16:12:00
急转/房东直租｜昌平龙泽育知路地铁，天露园一区，5层主卧独卫,https://www.douban.com/group/topic/261352943/,﹉,https://www.douban.com/people/234322625/,0,2022-03-02 16:10:00
亦庄桥地铁，贵园社区，瀛景园  三居  合租,https://www.douban.com/group/topic/261352816/,heduo,https://www.douban.com/people/173938562/,0,2022-03-02 16:09:00
六号线褡裢坡 福盈家园 两居室全南,https://www.douban.com/group/topic/261352614/,租房找我,https://www.douban.com/people/252622481/,0,2022-03-02 16:06:00
【个人转租】4号9号16号线国家图书馆地铁气象局社区带阳台次卧转租，无中介费,https://www.douban.com/group/topic/261352525/,kitkat,https://www.douban.com/people/84176069/,0,2022-03-02 16:05:00
转租回龙观新村正规大次卧2350,https://www.douban.com/group/topic/261352518/,豆友206183244,https://www.douban.com/people/206183244/,0,2022-03-02 16:04:00
青年路地铁站 朝阳大悦城对面 次卧转租,https://www.douban.com/group/topic/261352496/,晕过,https://www.douban.com/people/luxifero/,0,2022-03-02 16:04:00
朝阳常营民族家园附近 黄渠地铁站  优点社区 2400,https://www.douban.com/group/topic/261352495/,Vincent,https://www.douban.com/people/140658366/,0,2022-03-02 16:04:00
东三环边团结湖两居的一个卧室转租,https://www.douban.com/group/topic/261352329/,安源之梦,https://www.douban.com/people/143851068/,0,2022-03-02 16:02:00
想整租将府家园(上东三角洲)2-3居室房源，中介勿扰，多谢推荐,https://www.douban.com/group/topic/261352287/,更进一步,https://www.douban.com/people/151487178/,0,2022-03-02 16:01:00
求租传媒大学北花园2室一厅,https://www.douban.com/group/topic/261352262/,S,https://www.douban.com/people/132752919/,0,2022-03-02 16:01:00
六号线北运河西 整租2300元/月 开间 可做饭 民水民电,https://www.douban.com/group/topic/261351929/,小希吖,https://www.douban.com/people/239709548/,0,2022-03-02 15:57:00
13号线 西二旗地铁站 智学苑 临近小米科技园 百度 中关村软件园 精装主卧独卫 全屋密码锁包物业取暖 现房精装修 随时看房入住,https://www.douban.com/group/topic/261351853/,222,https://www.douban.com/people/253367110/,0,2022-03-02 15:56:00
青年路两居次卧出租,https://www.douban.com/group/topic/261351788/,七月迷情,https://www.douban.com/people/51208552/,0,2022-03-02 15:55:00
找室友|海淀西北旺,https://www.douban.com/group/topic/261351673/,陈大大,https://www.douban.com/people/173237895/,4,2022-03-02 15:54:00
转租 | 霍营旗胜家园两居整租，离地铁近，8号线13号线中转，无中介费，到期后可与房东续租,https://www.douban.com/group/topic/261351364/,七七四十九,https://www.douban.com/people/140881737/,1,2022-03-02 15:50:00
五道口主卧合租床位转租限女生，价格可议,https://www.douban.com/group/topic/261351358/,六川,https://www.douban.com/people/Nancy_triple9/,0,2022-03-02 15:50:00
1号线 双桥地铁口800米 金隅可乐 精装修 大落地窗 开间,https://www.douban.com/group/topic/261351300/,西瓜,https://www.douban.com/people/252854237/,0,2022-03-02 15:49:00
出租｜崇文门两居室次卧｜无服务费,https://www.douban.com/group/topic/261351293/,คะนิ้ง🍃,https://www.douban.com/people/152708065/,2,2022-03-02 15:49:00
海淀6号线田村地铁站，天合家园有房出租，地铁一百米，精装修拎包入住，s1号线，全线精美单间出租，,https://www.douban.com/group/topic/261351264/,痛到不痛,https://www.douban.com/people/252911246/,0,2022-03-02 15:49:00
10 /14号线求租一居室,https://www.douban.com/group/topic/261351151/,Finolalala,https://www.douban.com/people/147830188/,0,2022-03-02 15:47:00
转租｜紧邻通州北苑地铁，通州万达对面主卧独卫,https://www.douban.com/group/topic/261351149/,小确幸,https://www.douban.com/people/160704837/,0,2022-03-02 15:47:00
求租，1号线果园梨园附近,https://www.douban.com/group/topic/261351131/,未名的十安之想,https://www.douban.com/people/193487698/,2,2022-03-02 15:47:00
芍药居10号楼转租，距离芍药居地铁站步行6分钟，2900/月带阳台二居次卧，仅限女生不带宠物,https://www.douban.com/group/topic/261351108/,💗丽莎💓,https://www.douban.com/people/192477782/,0,2022-03-02 15:46:00
15号线望京周边LOFT 找女室友一名 欢迎实习生,https://www.douban.com/group/topic/261351102/,重头来过,https://www.douban.com/people/55742399/,1,2022-03-02 15:46:00
五号线天通苑西三区房东直租无中介费押一付一,https://www.douban.com/group/topic/261351046/,豆友193769537,https://www.douban.com/people/193769537/,0,2022-03-02 15:46:00
10号线角门东地铁口电梯房,https://www.douban.com/group/topic/261350900/,柒,https://www.douban.com/people/73317492/,0,2022-03-02 15:44:00
求租十里堡附近两居,https://www.douban.com/group/topic/261350848/,哈哈哈😁,https://www.douban.com/people/230638398/,0,2022-03-02 15:43:00
健德门房东直租次卧,https://www.douban.com/group/topic/261350800/,达尔文,https://www.douban.com/people/178047610/,0,2022-03-02 15:42:00
地铁十号线丰台站 找室友合租 1200每月 13683518240微信同步,https://www.douban.com/group/topic/261350793/,春华秋实,https://www.douban.com/people/216262886/,0,2022-03-02 15:42:00
房东直租芳园里找两个女生室友,https://www.douban.com/group/topic/261350731/,默,https://www.douban.com/people/161353343/,0,2022-03-02 15:42:00
